ZEIT,PRESS_FILTER,HEIGHT_FILTER,PRESS RAW [hpa],HEIGHT RAW [m],ACCEL,SPEED,EVENT,EVENT,VOLT. CHANNEL,VOLTAGE [V]
0.895000000000001,99747.84375,20.5635528564453,99714,23.4172973632813,-1.8639,0,0,RAMPE,5,0
0.900000000000001,99748.4453125,20.5126495361328,99782,17.6841278076172,0.5886,0,0,RAMPE,1,12.1751639579883
0.905000000000001,99748.484375,20.5095825195313,99750,20.3817901611328,-1.2753,0,0,RAMPE,2,0.493495343530273
0.910000000000001,99748.2421875,20.5299530029297,99735,21.6461029052734,0,0,0,RAMPE,3,10.9235861176025
0.915000000000001,99747.84375,20.5635528564453,99727,22.3208312988281,0.5886,0,0,RAMPE,4,10.9235861176025
0.920000000000001,99747.8359375,20.5640716552734,99748,20.5503234863281,-0.5886,0,0,RAMPE,5,0
0.925000000000001,99747.78125,20.5686492919922,99745,20.8033752441406,1.2753,0,0,RAMPE,1,12.1720211691504
0.930000000000001,99748.15625,20.5370788574219,99769,18.7801208496094,-0.5886,0,0,RAMPE,2,0.496162885927734
0.935000000000001,99748.296875,20.5253753662109,99756,19.8757019042969,-1.2753,0,0,RAMPE,3,10.9235861176025
0.940000000000001,99748.5234375,20.5060272216797,99761,19.4541473388672,1.8639,0,0,RAMPE,4,10.9235861176025
0.945000000000001,99748.8984375,20.4744567871094,99769,18.7801208496094,1.2753,0,0,RAMPE,5,0
0.950000000000001,99748.65625,20.4948272705078,99735,21.6461029052734,1.2753,0,0,RAMPE,1,12.1688783803125
0.955000000000001,99748.9609375,20.4693603515625,99766,19.0326232910156,0,0,0,RAMPE,2,0.496162885927734
0.960000000000001,99748.609375,20.4989013671875,99729,22.1522674560547,-0.5886,0,0,RAMPE,3,10.9235861176025
0.965000000000001,99748.453125,20.5121307373047,99740,21.2249755859375,4.905,0,0,RAMPE,4,10.9235861176025
0.970000000000001,99748.0078125,20.5498046875,99724,22.5739288330078,-3.7278,0,0,RAMPE,5,0
0.975000000000001,99748.703125,20.4907531738281,99787,17.2626647949219,-1.2753,0,0,RAMPE,1,12.1688783803125
0.980000000000001,99748.9375,20.4714050292969,99761,19.4541473388672,2.4525,0,0,RAMPE,2,0.496162885927734
0.985000000000001,99748.578125,20.5014343261719,99729,22.1522674560547,3.0411,0,0,RAMPE,3,10.9235861176025
0.990000000000001,99748.21875,20.5319976806641,99729,22.1522674560547,48.4614,0,0,RAMPE,4,10.9235861176025
0.995000000000001,99747.3828125,20.6022491455078,99703,24.3447875976563,49.6386,0,0,RAMPE,5,0
