ts,id,T,P
2.285,BARO0,44.23,97661
2.295,BARO0,44.22,97638
2.305,BARO0,44.22,97640
2.315,BARO0,44.24,97653
2.325,BARO0,44.22,97615
2.335,BARO0,44.24,97614
2.345,BARO0,44.23,97607
2.355,BARO0,44.23,97592
2.365,BARO0,44.23,97569
2.375,BARO0,44.23,97577
2.385,BARO0,44.23,97583
2.395,BARO0,44.22,97568
2.405,BARO0,44.24,97563
2.415,BARO0,44.23,97552
2.425,BARO0,44.22,97559
2.435,BARO0,44.23,97538
2.445,BARO0,44.23,97535
2.455,BARO0,44.22,97528
2.465,BARO0,44.23,97506
2.475,BARO0,44.22,97505
2.485,BARO0,44.23,97516
2.495,BARO0,44.24,97484
2.505,BARO0,44.22,97476
2.515,BARO0,44.24,97471
2.525,BARO0,44.23,97451
2.535,BARO0,44.23,97453
2.545,BARO0,44.23,97462
2.555,BARO0,44.23,97443
2.565,BARO0,44.24,97434
2.575,BARO0,44.23,97412
2.585,BARO0,44.23,97432
2.595,BARO0,44.23,97403
2.605,BARO0,44.23,97397
2.615,BARO0,44.23,97395
2.625,BARO0,44.22,97392
2.635,BARO0,44.23,97376
2.645,BARO0,44.23,97368
2.655,BARO0,44.23,97368
2.665,BARO0,44.24,97355
2.675,BARO0,44.22,97343
2.685,BARO0,44.22,97324
2.695,BARO0,44.22,97331
2.705,BARO0,44.23,97327
2.715,BARO0,44.23,97310
2.725,BARO0,44.23,97311
2.735,BARO0,44.23,97313
2.745,BARO0,44.23,97288
2.755,BARO0,44.23,97273
2.765,BARO0,44.23,97282
2.775,BARO0,44.25,97264
2.785,BARO0,44.22,97260
2.795,BARO0,44.22,97268
2.805,BARO0,44.25,97222
2.815,BARO0,44.24,97243
2.825,BARO0,44.23,97247
2.835,BARO0,44.23,97216
2.845,BARO0,44.23,97200
2.855,BARO0,44.23,97196
2.865,BARO0,44.23,97199
2.875,BARO0,44.21,97172
2.885,BARO0,44.24,97188
2.895,BARO0,44.24,97146
2.905,BARO0,44.24,97167
2.915,BARO0,44.23,97180
2.925,BARO0,44.22,97141
2.935,BARO0,44.25,97150
2.945,BARO0,44.23,97126
2.955,BARO0,44.23,97116
2.965,BARO0,44.23,97126
2.975,BARO0,44.23,97094
2.985,BARO0,44.23,97085
2.995,BARO0,44.24,97087
3.005,BARO0,44.25,97083
3.015,BARO0,44.22,97067
3.025,BARO0,44.25,97074
3.035,BARO0,44.22,97049
3.045,BARO0,44.24,97038
3.055,BARO0,44.23,97028
3.065,BARO0,44.22,97007
3.075,BARO0,44.22,97025
3.085,BARO0,44.23,97019
3.095,BARO0,44.24,96997
3.105,BARO0,44.24,96989
3.115,BARO0,44.23,96988
3.125,BARO0,44.23,96972
3.135,BARO0,44.25,96970
3.145,BARO0,44.24,96971
3.155,BARO0,44.24,96942
3.165,BARO0,44.22,96950
3.175,BARO0,44.23,96936
3.185,BARO0,44.24,96935
3.195,BARO0,44.25,96919
3.205,BARO0,44.23,96923
3.215,BARO0,44.23,96894
3.225,BARO0,44.23,96887
3.235,BARO0,44.24,96887
3.245,BARO0,44.23,96888
3.255,BARO0,44.23,96879
3.265,BARO0,44.23,96859
3.275,BARO0,44.23,96834
3.285,BARO0,44.24,96836
3.295,BARO0,44.24,96834
3.305,BARO0,44.23,96821
3.315,BARO0,44.23,96815
3.325,BARO0,44.24,96818
3.335,BARO0,44.24,96804
3.345,BARO0,44.23,96794
3.355,BARO0,44.23,96789
3.365,BARO0,44.23,96791
3.375,BARO0,44.25,96782
3.385,BARO0,44.23,96756
3.395,BARO0,44.23,96758
3.405,BARO0,44.25,96771
3.415,BARO0,44.23,96719
3.425,BARO0,44.25,96729
3.435,BARO0,44.23,96723
3.445,BARO0,44.23,96715
3.455,BARO0,44.23,96701
3.465,BARO0,44.24,96700
3.475,BARO0,44.25,96717
3.485,BARO0,44.24,96702
3.495,BARO0,44.23,96679
3.505,BARO0,44.24,96661
3.515,BARO0,44.23,96659
3.525,BARO0,44.22,96675
3.535,BARO0,44.22,96631
3.545,BARO0,44.23,96629
3.555,BARO0,44.24,96630
3.565,BARO0,44.24,96621
3.575,BARO0,44.24,96639
3.585,BARO0,44.23,96619
3.595,BARO0,44.22,96611
3.605,BARO0,44.24,96584
3.615,BARO0,44.24,96577
3.625,BARO0,44.25,96588
3.635,BARO0,44.23,96563
3.645,BARO0,44.24,96563
3.655,BARO0,44.23,96553
3.665,BARO0,44.23,96526
3.675,BARO0,44.24,96542
3.685,BARO0,44.23,96532
3.695,BARO0,44.24,96531
3.705,BARO0,44.24,96521
3.715,BARO0,44.24,96506
3.725,BARO0,44.23,96496
3.735,BARO0,44.23,96490
3.745,BARO0,44.24,96475
3.755,BARO0,44.24,96483
3.765,BARO0,44.23,96475
3.775,BARO0,44.24,96465
3.785,BARO0,44.24,96469
3.795,BARO0,44.24,96456
3.805,BARO0,44.23,96458
3.815,BARO0,44.24,96423
3.825,BARO0,44.22,96423
3.835,BARO0,44.24,96426
3.845,BARO0,44.24,96413
3.855,BARO0,44.24,96417
3.865,BARO0,44.24,96392
3.875,BARO0,44.24,96399
3.885,BARO0,44.23,96378
3.895,BARO0,44.24,96379
3.905,BARO0,44.23,96355
3.915,BARO0,44.23,96354
3.925,BARO0,44.24,96359
3.935,BARO0,44.25,96348
3.945,BARO0,44.24,96340
3.955,BARO0,44.24,96337
3.965,BARO0,44.25,96340
3.975,BARO0,44.23,96325
3.985,BARO0,44.25,96320
3.995,BARO0,44.25,96324
4.005,BARO0,44.23,96297
4.015,BARO0,44.25,96298
4.025,BARO0,44.25,96294
4.035,BARO0,44.25,96288
4.045,BARO0,44.24,96278
4.055,BARO0,44.23,96267
4.065,BARO0,44.25,96263
4.075,BARO0,44.24,96261
4.085,BARO0,44.23,96243
4.095,BARO0,44.25,96265
4.105,BARO0,44.24,96247
4.115,BARO0,44.26,96263
4.125,BARO0,44.23,96231
4.135,BARO0,44.25,96229
4.145,BARO0,44.24,96222
4.155,BARO0,44.25,96219
4.165,BARO0,44.24,96201
4.175,BARO0,44.25,96219
4.185,BARO0,44.26,96204
4.195,BARO0,44.23,96171
4.205,BARO0,44.26,96187
4.215,BARO0,44.24,96178
4.225,BARO0,44.25,96167
4.235,BARO0,44.25,96163
4.245,BARO0,44.25,96162
4.255,BARO0,44.24,96149
4.265,BARO0,44.25,96143
4.275,BARO0,44.24,96138
4.285,BARO0,44.26,96131
4.295,BARO0,44.25,96118
4.305,BARO0,44.24,96134
4.315,BARO0,44.25,96116
4.325,BARO0,44.24,96110
4.335,BARO0,44.25,96098
4.345,BARO0,44.24,96097
4.355,BARO0,44.24,96087
4.365,BARO0,44.24,96100
4.375,BARO0,44.26,96099
4.385,BARO0,44.26,96065
4.395,BARO0,44.26,96063
4.405,BARO0,44.23,96071
4.415,BARO0,44.26,96057
4.425,BARO0,44.25,96049
4.435,BARO0,44.25,96047
4.445,BARO0,44.25,96034
4.455,BARO0,44.25,96021
4.465,BARO0,44.26,96019
4.475,BARO0,44.24,96009
4.485,BARO0,44.24,96006
4.495,BARO0,44.23,95985
4.505,BARO0,44.26,96000
4.515,BARO0,44.25,95988
4.525,BARO0,44.25,95960
4.535,BARO0,44.25,95970
4.545,BARO0,44.24,95961
4.555,BARO0,44.24,95962
4.565,BARO0,44.24,95954
4.575,BARO0,44.26,95950
4.585,BARO0,44.27,95946
4.595,BARO0,44.26,95928
4.605,BARO0,44.24,95944
4.615,BARO0,44.25,95905
4.625,BARO0,44.25,95906
4.635,BARO0,44.25,95919
4.645,BARO0,44.25,95924
4.655,BARO0,44.25,95901
4.665,BARO0,44.25,95883
4.675,BARO0,44.26,95885
4.685,BARO0,44.26,95888
4.695,BARO0,44.25,95885
4.705,BARO0,44.25,95874
4.715,BARO0,44.26,95870
4.725,BARO0,44.26,95860
4.735,BARO0,44.24,95856
4.745,BARO0,44.25,95844
4.755,BARO0,44.25,95828
4.765,BARO0,44.26,95834
4.775,BARO0,44.27,95808
4.785,BARO0,44.25,95835
4.795,BARO0,44.26,95805
4.805,BARO0,44.26,95800
4.815,BARO0,44.26,95780
4.825,BARO0,44.26,95784
4.835,BARO0,44.24,95789
4.845,BARO0,44.25,95770
4.855,BARO0,44.25,95773
4.865,BARO0,44.25,95765
4.875,BARO0,44.26,95750
4.885,BARO0,44.25,95768
4.895,BARO0,44.26,95752
4.905,BARO0,44.26,95754
4.915,BARO0,44.26,95751
4.925,BARO0,44.25,95758
4.935,BARO0,44.26,95719
4.945,BARO0,44.25,95717
4.955,BARO0,44.25,95712
4.965,BARO0,44.25,95717
4.975,BARO0,44.26,95722
4.985,BARO0,44.26,95699
4.995,BARO0,44.27,95703
5.005,BARO0,44.26,95690
5.015,BARO0,44.27,95682
5.025,BARO0,44.26,95684
5.035,BARO0,44.25,95675
5.045,BARO0,44.25,95666
5.055,BARO0,44.25,95663
5.065,BARO0,44.26,95666
5.075,BARO0,44.26,95642
5.085,BARO0,44.25,95629
5.095,BARO0,44.26,95648
5.105,BARO0,44.26,95664
5.115,BARO0,44.24,95643
5.125,BARO0,44.26,95630
5.135,BARO0,44.25,95610
5.145,BARO0,44.25,95605
5.155,BARO0,44.26,95610
5.165,BARO0,44.26,95605
5.175,BARO0,44.26,95576
5.185,BARO0,44.25,95597
5.195,BARO0,44.27,95586
5.205,BARO0,44.26,95579
5.215,BARO0,44.26,95598
5.225,BARO0,44.26,95560
5.235,BARO0,44.26,95557
5.245,BARO0,44.25,95557
5.255,BARO0,44.25,95553
5.265,BARO0,44.26,95545
5.275,BARO0,44.28,95542
5.285,BARO0,44.26,95535
5.295,BARO0,44.25,95514
5.305,BARO0,44.26,95516
5.315,BARO0,44.26,95516
5.325,BARO0,44.25,95514
5.335,BARO0,44.25,95499
5.345,BARO0,44.26,95509
5.355,BARO0,44.25,95489
5.365,BARO0,44.25,95494
5.375,BARO0,44.26,95482
5.385,BARO0,44.27,95483
5.395,BARO0,44.27,95474
5.405,BARO0,44.26,95472
5.415,BARO0,44.27,95451
5.425,BARO0,44.25,95453
5.435,BARO0,44.26,95448
5.445,BARO0,44.25,95443
5.455,BARO0,44.26,95450
5.465,BARO0,44.25,95433
5.475,BARO0,44.26,95422
5.485,BARO0,44.25,95415
5.495,BARO0,44.25,95414
5.505,BARO0,44.28,95409
5.515,BARO0,44.24,95404
5.525,BARO0,44.27,95419
5.535,BARO0,44.25,95383
5.545,BARO0,44.25,95390
5.555,BARO0,44.25,95375
5.565,BARO0,44.26,95372
5.575,BARO0,44.27,95370
5.585,BARO0,44.26,95393
5.595,BARO0,44.25,95371
5.605,BARO0,44.26,95349
5.615,BARO0,44.25,95344
5.625,BARO0,44.25,95353
5.635,BARO0,44.27,95348
5.645,BARO0,44.26,95344
5.655,BARO0,44.25,95335
5.665,BARO0,44.26,95329
5.675,BARO0,44.26,95323
5.685,BARO0,44.26,95316
5.695,BARO0,44.26,95297
5.705,BARO0,44.25,95300
5.715,BARO0,44.27,95304
5.725,BARO0,44.26,95309
5.735,BARO0,44.26,95295
5.745,BARO0,44.26,95279
5.755,BARO0,44.26,95279
5.765,BARO0,44.27,95280
5.775,BARO0,44.27,95281
5.785,BARO0,44.25,95258
5.795,BARO0,44.26,95253
5.805,BARO0,44.26,95266
5.815,BARO0,44.26,95254
5.825,BARO0,44.26,95248
5.835,BARO0,44.25,95258
5.845,BARO0,44.25,95251
5.855,BARO0,44.27,95239
5.865,BARO0,44.26,95236
5.875,BARO0,44.25,95233
5.885,BARO0,44.26,95223
5.895,BARO0,44.26,95247
5.905,BARO0,44.28,95215
5.915,BARO0,44.26,95214
5.925,BARO0,44.26,95222
5.935,BARO0,44.26,95207
5.945,BARO0,44.25,95208
5.955,BARO0,44.26,95207
5.965,BARO0,44.26,95190
5.975,BARO0,44.26,95197
5.985,BARO0,44.24,95199
5.995,BARO0,44.26,95176
6.005,BARO0,44.26,95181
6.015,BARO0,44.27,95199
6.025,BARO0,44.27,95176
6.035,BARO0,44.26,95163
6.045,BARO0,44.27,95165
6.055,BARO0,44.27,95164
6.065,BARO0,44.26,95127
6.075,BARO0,44.28,95160
6.085,BARO0,44.26,95139
6.095,BARO0,44.28,95158
6.105,BARO0,44.25,95121
6.115,BARO0,44.26,95133
6.125,BARO0,44.26,95110
6.135,BARO0,44.26,95127
6.145,BARO0,44.26,95114
6.155,BARO0,44.26,95108
6.165,BARO0,44.25,95099
6.175,BARO0,44.26,95087
6.185,BARO0,44.27,95089
6.195,BARO0,44.27,95075
6.205,BARO0,44.28,95076
6.215,BARO0,44.26,95105
6.225,BARO0,44.27,95097
6.235,BARO0,44.27,95079
6.245,BARO0,44.27,95071
6.255,BARO0,44.27,95051
6.265,BARO0,44.26,95066
6.275,BARO0,44.26,95068
6.285,BARO0,44.26,95051
6.295,BARO0,44.26,95065
6.305,BARO0,44.27,95047
6.315,BARO0,44.27,95048
6.325,BARO0,44.28,95044
6.335,BARO0,44.26,95025
6.345,BARO0,44.26,95016
6.355,BARO0,44.27,95027
6.365,BARO0,44.26,95017
6.375,BARO0,44.28,95017
6.385,BARO0,44.27,94992
6.395,BARO0,44.26,95006
6.405,BARO0,44.26,95007
6.415,BARO0,44.27,94990
6.425,BARO0,44.27,94987
6.435,BARO0,44.26,94980
6.445,BARO0,44.26,94979
6.455,BARO0,44.26,94978
6.465,BARO0,44.27,94977
6.475,BARO0,44.27,94974
6.485,BARO0,44.26,94970
6.495,BARO0,44.28,94974
6.505,BARO0,44.26,94956
6.515,BARO0,44.27,94953
6.525,BARO0,44.27,94954
6.535,BARO0,44.27,94958
6.545,BARO0,44.26,94957
6.555,BARO0,44.26,94945
6.565,BARO0,44.26,94956
6.575,BARO0,44.28,94946
6.585,BARO0,44.28,94944
6.595,BARO0,44.28,94930
6.605,BARO0,44.27,94904
6.615,BARO0,44.28,94926
6.625,BARO0,44.28,94936
6.635,BARO0,44.28,94918
6.645,BARO0,44.27,94902
6.655,BARO0,44.26,94914
6.665,BARO0,44.26,94901
6.675,BARO0,44.26,94907
6.685,BARO0,44.27,94893
6.695,BARO0,44.27,94916
6.705,BARO0,44.26,94867
6.715,BARO0,44.28,94886
6.725,BARO0,44.27,94882
6.735,BARO0,44.27,94876
6.745,BARO0,44.27,94868
6.755,BARO0,44.27,94880
6.765,BARO0,44.26,94871
6.775,BARO0,44.27,94860
6.785,BARO0,44.29,94865
6.795,BARO0,44.27,94868
6.805,BARO0,44.27,94854
6.815,BARO0,44.27,94855
6.825,BARO0,44.26,94845
6.835,BARO0,44.27,94846
6.845,BARO0,44.26,94838
6.855,BARO0,44.27,94832
6.865,BARO0,44.26,94835
6.875,BARO0,44.27,94820
6.885,BARO0,44.28,94814
6.895,BARO0,44.27,94817
6.905,BARO0,44.29,94814
6.915,BARO0,44.26,94821
6.925,BARO0,44.27,94808
6.935,BARO0,44.27,94805
6.945,BARO0,44.28,94811
6.955,BARO0,44.26,94801
6.965,BARO0,44.27,94783
6.975,BARO0,44.27,94775
6.985,BARO0,44.28,94778
6.995,BARO0,44.27,94794
7.005,BARO0,44.27,94765
7.015,BARO0,44.28,94769
7.025,BARO0,44.27,94796
7.035,BARO0,44.27,94780
7.045,BARO0,44.27,94767
7.055,BARO0,44.27,94762
7.065,BARO0,44.26,94739
7.075,BARO0,44.27,94754
7.085,BARO0,44.28,94753
7.095,BARO0,44.27,94749
7.105,BARO0,44.26,94733
7.115,BARO0,44.27,94727
7.125,BARO0,44.29,94747
7.135,BARO0,44.27,94743
7.145,BARO0,44.27,94733
7.155,BARO0,44.26,94720
7.165,BARO0,44.26,94722
7.175,BARO0,44.26,94720
7.185,BARO0,44.27,94710
7.195,BARO0,44.27,94694
7.205,BARO0,44.26,94697
7.215,BARO0,44.27,94709
7.225,BARO0,44.27,94696
7.235,BARO0,44.28,94695
7.245,BARO0,44.28,94685
7.255,BARO0,44.27,94687
7.265,BARO0,44.27,94681
7.275,BARO0,44.27,94674
7.285,BARO0,44.29,94688
7.295,BARO0,44.26,94677
7.305,BARO0,44.25,94647
7.315,BARO0,44.27,94682
7.325,BARO0,44.27,94663
7.335,BARO0,44.29,94671
7.345,BARO0,44.26,94666
7.355,BARO0,44.27,94655
7.365,BARO0,44.27,94660
7.375,BARO0,44.25,94633
7.385,BARO0,44.27,94649
7.395,BARO0,44.28,94655
7.405,BARO0,44.28,94625
7.415,BARO0,44.26,94640
7.425,BARO0,44.28,94618
7.435,BARO0,44.28,94637
7.445,BARO0,44.26,94620
7.455,BARO0,44.26,94630
7.465,BARO0,44.28,94617
7.475,BARO0,44.28,94614
7.485,BARO0,44.27,94618
7.495,BARO0,44.27,94607
7.505,BARO0,44.28,94623
7.515,BARO0,44.27,94603
7.525,BARO0,44.29,94604
7.535,BARO0,44.27,94600
7.545,BARO0,44.26,94590
7.555,BARO0,44.27,94592
7.565,BARO0,44.27,94585
7.575,BARO0,44.27,94576
7.585,BARO0,44.28,94573
7.595,BARO0,44.28,94577
7.605,BARO0,44.26,94566
7.615,BARO0,44.27,94608
7.625,BARO0,44.28,94564
7.635,BARO0,44.28,94571
7.645,BARO0,44.27,94567
7.655,BARO0,44.27,94562
7.665,BARO0,44.27,94562
7.675,BARO0,44.27,94562
7.685,BARO0,44.28,94582
7.695,BARO0,44.28,94563
7.705,BARO0,44.27,94560
7.715,BARO0,44.27,94556
7.725,BARO0,44.28,94540
7.735,BARO0,44.28,94551
7.745,BARO0,44.28,94542
7.755,BARO0,44.28,94550
7.765,BARO0,44.28,94541
7.775,BARO0,44.29,94536
7.785,BARO0,44.26,94530
7.795,BARO0,44.28,94543
7.805,BARO0,44.28,94516
7.815,BARO0,44.28,94522
7.825,BARO0,44.28,94528
7.835,BARO0,44.27,94532
7.845,BARO0,44.28,94531
7.855,BARO0,44.27,94521
7.865,BARO0,44.28,94526
7.875,BARO0,44.28,94504
7.885,BARO0,44.28,94541
7.895,BARO0,44.27,94516
7.905,BARO0,44.28,94494
7.915,BARO0,44.27,94509
7.925,BARO0,44.29,94504
7.935,BARO0,44.27,94507
7.945,BARO0,44.28,94515
7.955,BARO0,44.27,94505
7.965,BARO0,44.28,94503
