Scalar,Scalar
16.028710,-8.026090
16.089965,-8.026062
16.140860,-8.026038
16.191755,-8.026015
16.242650,-8.025992
16.293545,-8.025968
16.351066,-8.025942
16.408587,-8.025916
16.466108,-8.025890
16.523629,-8.025863
16.581151,-8.025837
16.664952,-8.025799
16.726420,-8.025771
16.787888,-8.025743
16.849356,-8.025715
16.910824,-8.025688
16.972291,-8.025660
17.033759,-8.025632
17.095227,-8.025604
17.156695,-8.025577
17.228234,-8.025544
17.299774,-8.025512
17.371313,-8.025480
17.442852,-8.025448
17.514392,-8.025416
17.585931,-8.025384
17.657470,-8.025352
17.729010,-8.025320
17.747964,-8.025312
17.766919,-8.025303
17.785873,-8.025295
17.804828,-8.025286
17.842737,-8.025270
17.880646,-8.025253
17.918555,-8.025236
17.956464,-8.025219
18.044626,-8.025180
18.132789,-8.025141
18.145722,-8.025135
18.158656,-8.025129
18.171590,-8.025124
18.197458,-8.025112
18.223325,-8.025101
18.249193,-8.025089
18.275061,-8.025078
18.346447,-8.025046
18.417834,-8.025015
18.489221,-8.024983
18.545086,-8.024959
18.600950,-8.024934
18.656815,-8.024910
18.712680,-8.024885
18.768545,-8.024861
18.846444,-8.024827
18.911336,-8.024798
18.976228,-8.024770
19.041121,-8.024742
19.106013,-8.024713
19.170905,-8.024685
19.235798,-8.024657
19.300690,-8.024629
19.365582,-8.024600
19.430475,-8.024572
19.495367,-8.024544
19.560259,-8.024516
19.633220,-8.024484
19.706180,-8.024453
19.779141,-8.024421
19.852101,-8.024390
19.925062,-8.024358
20.011713,-8.024321
20.098364,-8.024284
20.185015,-8.024247
20.271665,-8.024210
20.358316,-8.024172
20.444967,-8.024135
20.531618,-8.024098
20.618269,-8.024061
20.704920,-8.024024
20.812697,-8.023979
20.920474,-8.023933
21.028250,-8.023887
21.136027,-8.023841
21.243804,-8.023796
21.351581,-8.023750
21.473371,-8.023699
21.595162,-8.023647
21.716952,-8.023596
21.838742,-8.023545
21.960533,-8.023494
22.082323,-8.023443
22.204113,-8.023392
22.325904,-8.023341
22.447694,-8.023290
22.568365,-8.023240
22.689036,-8.023190
22.809707,-8.023140
22.930377,-8.023090
23.051048,-8.023040
23.207931,-8.022975
23.336423,-8.022922
23.464914,-8.022869
23.593406,-8.022816
23.721898,-8.022763
23.850389,-8.022711
23.870017,-8.022703
23.889645,-8.022695
23.909273,-8.022686
23.928901,-8.022678
23.948529,-8.022670
23.987785,-8.022654
24.027041,-8.022638
24.066297,-8.022622
24.105553,-8.022606
24.216272,-8.022561
24.296311,-8.022528
24.376351,-8.022495
24.456390,-8.022463
24.616468,-8.022398
24.726547,-8.022353
24.836626,-8.022308
24.946706,-8.022264
25.056785,-8.022219
25.166864,-8.022174
25.276943,-8.022130
25.387022,-8.022085
25.497102,-8.022041
25.607181,-8.021997
25.717260,-8.021952
25.843803,-8.021901
25.970346,-8.021850
26.096889,-8.021800
26.223432,-8.021749
26.349975,-8.021698
26.547392,-8.021619
26.686307,-8.021564
26.825222,-8.021508
26.964137,-8.021453
27.103053,-8.021398
27.241968,-8.021343
27.395525,-8.021282
27.549083,-8.021221
27.702641,-8.021160
27.856198,-8.021099
28.009756,-8.021038
28.193983,-8.020966
28.378211,-8.020893
28.562438,-8.020821
28.746665,-8.020748
28.930893,-8.020676
29.163560,-8.020585
29.396228,-8.020494
29.628895,-8.020403
29.861563,-8.020312
30.094231,-8.020222
30.310725,-8.020138
30.527220,-8.020054
30.743715,-8.019970
30.960210,-8.019886
31.209989,-8.019789
31.459767,-8.019693
31.709546,-8.019597
31.959325,-8.019501
32.209103,-8.019405
32.563560,-8.019269
32.851460,-8.019158
33.139361,-8.019048
33.427261,-8.018939
33.715161,-8.018829
33.971102,-8.018731
33.971429,-8.018731
33.994163,-8.018723
34.016898,-8.018714
34.143385,-8.018666
34.269871,-8.018618
34.396357,-8.018570
34.693633,-8.018457
34.971429,-8.018352
34.986162,-8.018347
35.000895,-8.018341
35.030361,-8.018330
35.059827,-8.018319
35.089293,-8.018308
35.277330,-8.018240
35.465367,-8.018174
35.653404,-8.018111
35.841441,-8.018049
36.130945,-8.017958
36.420450,-8.017871
36.709955,-8.017787
36.999459,-8.017707
37.288964,-8.017630
37.759438,-8.017510
38.229912,-8.017397
38.700387,-8.017289
39.170861,-8.017186
39.641335,-8.017089
40.111810,-8.016995
40.871948,-8.016852
41.632086,-8.016718
42.392224,-8.016592
43.152362,-8.016474
43.912500,-8.016362
44.672639,-8.016256
45.765410,-8.016112
46.858182,-8.015977
