Scalar,Scalar
11.256394,3109.323101
11.297567,3121.317382
11.338740,3133.270826
11.379914,3145.183611
11.431343,3160.007016
11.482773,3174.767594
11.493059,3177.712200
11.503345,3180.654309
11.513631,3183.593924
11.534203,3189.465686
11.554774,3195.327505
11.575346,3201.179397
11.611918,3211.558339
11.648491,3221.906093
11.685063,3232.222777
11.730219,3244.918167
11.775375,3257.566575
11.820531,3270.168215
11.884498,3287.939969
11.935763,3302.115627
11.987029,3316.232166
12.038294,3330.290080
12.089559,3344.289897
12.150373,3360.822778
12.199753,3374.187983
12.249133,3387.500658
12.256964,3389.607126
12.264795,3391.712283
12.272626,3393.816133
12.288288,3398.019916
12.303951,3402.218485
12.319613,3406.411850
12.350631,3414.701278
12.381650,3422.970420
12.412668,3431.219364
12.443687,3439.448199
12.479070,3448.810593
12.514454,3458.147073
12.549837,3467.457767
12.585221,3476.742798
12.620604,3486.002284
12.655988,3495.236343
12.691371,3504.445094
12.726755,3513.628653
12.762138,3522.787129
12.797522,3531.920625
12.832905,3541.029245
12.874789,3551.779098
12.916672,3562.494419
12.958555,3573.175383
13.000439,3583.822162
13.042322,3594.434928
13.084205,3605.013845
13.126089,3615.559065
13.167972,3626.070744
13.209856,3636.549044
13.259445,3648.912276
13.309034,3661.229173
13.358624,3673.499976
13.408213,3685.724929
13.457802,3697.904269
13.507392,3710.038230
13.556981,3722.127039
13.606571,3734.170925
13.656160,3746.170107
13.723618,3762.421724
13.775342,3774.827064
13.827065,3787.184538
13.878788,3799.494370
13.930511,3811.756782
13.982234,3823.972009
14.033958,3836.140291
14.085681,3848.261860
14.137404,3860.336935
14.204574,3875.948994
14.271743,3891.483423
14.338913,3906.940673
14.406082,3922.321183
14.473252,3937.625375
14.552251,3955.527824
14.612711,3969.158367
14.673171,3982.728118
14.733630,3996.237374
14.794090,4009.686404
14.806182,4012.369006
14.818273,4015.049213
14.830365,4017.727025
14.842457,4020.402447
14.866641,4025.746125
14.890825,4031.080265
14.915009,4036.404884
14.939193,4041.720002
14.975966,4049.783936
15.006126,4056.381228
15.036286,4062.963841
15.066445,4069.531808
15.103355,4077.549855
15.140265,4085.546070
15.177175,4093.520518
15.214085,4101.473256
15.258849,4111.089346
15.303614,4120.673686
15.348378,4130.226373
15.393143,4139.747502
15.437908,4149.237168
15.486137,4159.426182
15.534366,4169.578907
15.573854,4177.864748
15.613343,4186.126412
15.652832,4194.363961
15.692320,4202.577455
15.745809,4213.664760
15.799299,4224.708201
15.852788,4235.707930
15.896768,4244.719640
15.940749,4253.701986
15.984730,4262.655047
16.028710,4271.578905
16.089965,4283.959239
16.140860,4294.202930
16.191755,4304.407895
16.242650,4314.574259
16.293545,4324.702144
16.351066,4336.102452
16.408587,4347.453927
16.466108,4358.756738
16.523629,4370.011052
16.581151,4381.217027
16.664952,4397.456587
16.726420,4409.303481
16.787888,4421.095817
16.849356,4432.833788
16.910824,4444.517576
16.972291,4456.147365
17.033759,4467.723344
17.095227,4479.245690
17.156695,4490.714573
17.228234,4503.995535
17.299774,4517.204594
17.371313,4530.342030
17.442852,4543.408102
17.514392,4556.403072
17.585931,4569.327200
17.657470,4582.180755
17.729010,4594.963993
17.747964,4598.339194
17.766919,4601.709480
17.785873,4605.074855
17.804828,4608.435323
17.842737,4615.141557
17.880646,4621.828222
17.918555,4628.495358
17.956464,4635.143002
18.044626,4650.527716
18.132789,4665.807641
18.145722,4668.040495
18.158656,4670.271105
18.171590,4672.499471
18.197458,4676.949479
18.223325,4681.390531
18.249193,4685.822638
18.275061,4690.245812
18.346447,4702.406142
18.417834,4714.498752
18.489221,4726.523860
18.545086,4735.887357
18.600950,4745.209731
18.656815,4754.491069
18.712680,4763.731461
18.768545,4772.931001
18.846444,4785.691000
18.911336,4796.260186
18.976228,4806.774733
19.041121,4817.234799
19.106013,4827.640537
19.170905,4837.992092
19.235798,4848.289609
19.300690,4858.533231
19.365582,4868.723100
19.430475,4878.859355
19.495367,4888.942127
19.560259,4898.971545
19.633220,4910.184395
19.706180,4921.330158
19.779141,4932.409030
19.852101,4943.421203
19.925062,4954.366868
20.011713,4967.280236
20.098364,4980.100352
20.185015,4992.827503
20.271665,5005.461969
20.358316,5018.004028
20.444967,5030.453962
20.531618,5042.812051
20.618269,5055.078578
20.704920,5067.253823
20.812697,5082.270497
20.920474,5097.146903
21.028250,5111.883533
21.136027,5126.480850
21.243804,5140.939307
21.351581,5155.259376
21.473371,5171.275451
21.595162,5187.116132
21.716952,5202.782087
21.838742,5218.273960
21.960533,5233.592383
22.082323,5248.737975
22.204113,5263.711332
22.325904,5278.513031
22.447694,5293.143669
22.568365,5307.471701
22.689036,5321.632948
22.809707,5335.627940
22.930377,5349.457202
23.051048,5363.121258
23.207931,5380.639567
23.336423,5394.780987
23.464914,5408.736993
23.593406,5422.508161
23.721898,5436.095065
23.850389,5449.498282
23.870017,5451.529577
23.889645,5453.556601
23.909273,5455.579356
23.928901,5457.597845
23.948529,5459.612069
23.987785,5463.627729
24.027041,5467.626353
24.066297,5471.607959
24.105553,5475.572561
24.216272,5486.663124
24.296311,5494.596520
24.376351,5502.459589
24.456390,5510.252446
24.616468,5525.627947
24.726547,5536.038811
24.836626,5546.317852
24.946706,5556.465372
25.056785,5566.481680
25.166864,5576.367076
25.276943,5586.121853
25.387022,5595.746309
25.497102,5605.240728
25.607181,5614.605382
25.717260,5623.840546
25.843803,5634.297294
25.970346,5644.583650
26.096889,5654.699991
26.223432,5664.646704
26.349975,5674.424164
26.547392,5689.340712
26.686307,5699.591350
26.825222,5709.639675
26.964137,5719.486147
27.103053,5729.131211
27.241968,5738.575308
27.395525,5748.781517
27.549083,5758.743255
27.702641,5768.461078
27.856198,5777.935542
28.009756,5787.167188
28.193983,5797.922994
28.378211,5808.330960
28.562438,5818.391962
28.746665,5828.106839
28.930893,5837.476406
29.163560,5848.817363
29.396228,5859.610345
29.628895,5869.856855
29.861563,5879.558348
30.094231,5888.716228
30.310725,5896.750482
